2025-05-15 17:45:27.940 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.19; built: 2023-12-15T20:38:32.477Z; git: 8492d1c78f122bb30cce20aecfa07e7283facd47; jvm 17.0.15+6
2025-05-15 17:45:28.311 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2025-05-15 17:45:28.345 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2025-05-15 17:45:28.355 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.5.0
2025-05-15 17:45:28.355 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in cloud mode on port 8990
2025-05-15 17:45:28.355 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0
2025-05-15 17:45:28.355 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2025-05-15T17:45:28.355680900Z
2025-05-15 17:45:28.357 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server\logs\jvm_crash_48704.log
2025-05-15 17:45:28.379 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server\solr (source: system property: solr.solr.home)
2025-05-15 17:45:28.403 WARN  (main) [c: s: r: x: t:] o.a.s.c.c.SolrZkClient Using default ZkCredentialsInjector. ZkCredentialsInjector is not secure, it creates an empty list of credentials which leads to 'OPEN_ACL_UNSAFE' ACLs to Zookeeper nodes
2025-05-15 17:45:47.410 INFO  (main) [c: s: r: x: t:] o.a.s.c.c.ConnectionManager Waiting up to 30000ms for client to connect to ZooKeeper
2025-05-15 17:45:56.547 INFO  (zkConnectionManagerCallback-2-thread-1) [c: s: r: x: t:] o.a.s.c.c.ConnectionManager zkClient has connected
2025-05-15 17:45:56.547 INFO  (main) [c: s: r: x: t:] o.a.s.c.c.ConnectionManager Client is connected to ZooKeeper
2025-05-15 17:45:56.548 WARN  (main) [c: s: r: x: t:] o.a.s.c.c.SolrZkClient Using default ZkACLProvider. DefaultZkACLProvider is not secure, it creates 'OPEN_ACL_UNSAFE' ACLs to Zookeeper nodes
2025-05-15 17:45:56.662 INFO  (main) [c: s: r: x: t:] o.a.s.c.NodeConfig Loading solr.xml from SolrHome (not found in ZooKeeper)
2025-05-15 17:45:56.662 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from C:\Users\thoma\OneDrive\Documents\GitHub\IR-Semantic-Analysis-AI\Main\solr-9.5.0\server\solr\solr.xml
2025-05-15 17:45:56.693 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/C:/Users/thoma/OneDrive/Documents/GitHub/IR-Semantic-Analysis-AI/Main/solr-9.5.0/lib]
